# T       <Sz^2>          <Q>        <Q^2>          <E>        <E^2>            C            F            S
1.020139447 0.243779 0 -0.000228867 0.0725962 0.00621587 0.000945656 -0.620086 0.692682 
0.7213475204 0.242307 -1.19018e-17 -0.000313032 -0.000300316 0.000462702 0.00104293 -0.692739 0.692439 
0.5100697233 0.240135 1.39486e-16 -0.000474459 0.0555748 0.12802 0.00132892 -0.63642 0.691995 
0.3606737602 0.238339 6.8298e-16 -0.000552047 -0.00106669 -0.00316938 0.000823696 -0.692671 0.691605 
0.2550348616 0.237204 2.13003e-15 -0.000502444 0.0534165 0.189091 -0.000218705 -0.638074 0.691491 
0.1803368801 0.236697 1.26398e-15 -0.000366389 -0.00131941 -0.00606794 -0.000397648 -0.693075 0.691755 
0.1275174308 0.236428 1.94078e-15 -0.000203994 0.0551352 0.207718 0.00352063 -0.637264 0.6924 
0.09016844006 0.236185 5.96347e-16 -0.00013845 -0.000907762 -0.0014379 0.00247814 -0.693407 0.692499 
0.06375871541 0.235935 -2.30599e-15 -5.3929e-05 0.0573905 0.218315 0.00557477 -0.635516 0.692907 
0.04508422003 0.235668 -1.16717e-14 -4.7754e-05 -0.000836665 -0.000744895 0.00286345 -0.693575 0.692739 
0.03187935771 0.235395 -1.37752e-14 8.87e-06 0.0597123 0.227299 0.00580962 -0.633342 0.693054 
0.02254211001 0.235104 -1.66923e-14 -2.908e-06 -0.000845796 -0.000549423 0.00309802 -0.693677 0.692831 
0.01593967885 0.234806 -1.19061e-14 3.9675e-05 0.0622018 0.236801 0.00592211 -0.630894 0.693096 
0.01127105501 0.23449 -4.391e-15 1.8974e-05 -0.000905825 -0.00073048 0.00317571 -0.693747 0.692841 
0.007969839427 0.234165 4.45481e-15 5.4938e-05 0.0648813 0.246984 0.00598491 -0.628201 0.693082 
0.005635527503 0.233821 1.26359e-14 2.996e-05 -0.000994126 -0.0010651 0.00322176 -0.693803 0.692809 
0.003984919713 0.233467 2.07523e-14 6.2487e-05 0.0677824 0.257998 0.00602658 -0.625252 0.693035 
0.002817763752 0.233093 3.47777e-14 3.5524e-05 -0.00110492 -0.00151002 0.00325447 -0.693854 0.692749 
