# T       <Sz^2>          <Q>        <Q^2>          <E>        <E^2>            C            F            S
1.035351843 0.250603 5.60197e-17 0.997582 0.00910857 0.000106504 2.35385e-05 -2.76347 2.77258 
0.6548140008 0.250953 -1.76136e-16 0.996176 0.00761654 0.0152266 5.06861e-05 -2.76494 2.77256 
0.4141407372 0.251506 -1.67909e-16 0.993951 0.0165183 0.0363254 0.000111536 -2.75601 2.77253 
0.2619256003 0.252381 1.18883e-16 0.990435 0.0189255 0.0659322 0.000235081 -2.75352 2.77245 
0.1656562949 0.253764 3.3803e-17 0.984878 0.0347068 0.0980414 0.000461309 -2.73757 2.77228 
0.1047702401 0.25595 6.73727e-16 0.976089 0.0465853 0.167926 0.000785115 -2.72528 2.77186 
0.06626251796 0.259402 -2.29222e-15 0.962199 0.0777284 0.223973 0.00170702 -2.69314 2.77087 
0.04190809605 0.264859 -1.59696e-15 0.940297 0.112188 0.416551 0.00680974 -2.6565 2.76869 
0.02650500718 0.273447 -3.51096e-15 0.905775 0.175861 0.536921 0.0167598 -2.58729 2.76315 
0.01676323842 0.286905 -2.27487e-14 0.851727 0.253881 1.00674 0.0435633 -2.49593 2.74981 
0.01060200287 0.307695 -3.15834e-14 0.768176 0.366476 1.2582 0.104375 -2.35078 2.71726 
0.006705295368 0.338789 -5.65215e-14 0.643285 0.478629 2.16607 0.242692 -2.16249 2.64112 
0.004240801149 0.381802 -5.12102e-14 0.470443 0.556978 2.35711 0.497389 -1.91854 2.47552 
0.002682118147 0.431961 -3.94643e-14 0.268944 0.498524 2.8164 0.803161 -1.67554 2.17407 
0.00169632046 0.473842 -9.76721e-15 0.100605 0.297405 1.73192 0.816097 -1.48595 1.78336 
0.001072847259 0.494008 1.48642e-14 0.019541 0.0882807 0.722621 0.402325 -1.40632 1.4946 
0.0006785281839 0.498421 2.12001e-14 0.0016993 0.0140398 0.109135 0.0698798 -1.38432 1.39836 
0.0004291389035 0.498753 1.81269e-14 0.000257297 0.000630226 0.005603 0.00337168 -1.3867 1.38733 
0.0002714112736 0.498762 2.04883e-14 0.000142465 0.00414497 0.0120552 0.000506892 -1.38263 1.38677 
0.0001716555614 0.498764 2.73619e-14 8.9106e-05 0.000189525 0.000961634 0.000290701 -1.38639 1.38658 
0.0001085645094 0.498776 1.82657e-14 5.542e-05 0.00404078 0.0114256 0.000168012 -1.38244 1.38648 
6.866222457e-05 0.498796 1.49962e-14 3.5277e-05 0.00019298 0.000788356 0.000105193 -1.38622 1.38641 
4.342580377e-05 0.498835 3.47453e-14 2.1999e-05 0.00412498 0.0115472 5.464e-05 -1.38224 1.38637 
2.746488983e-05 0.498896 2.95356e-14 1.4075e-05 0.000378068 0.00137485 3.6389e-05 -1.38596 1.38634 
1.737032151e-05 0.499 2.32635e-14 8.715e-06 0.00445272 0.0124186 1.1448e-05 -1.38187 1.38632 
1.098595593e-05 0.499162 1.20283e-14 5.615e-06 0.000907278 0.00322359 1.1111e-05 -1.3854 1.38631 
6.948128603e-06 0.499424 6.66224e-16 3.406e-06 0.00530715 0.0147914 -1.054e-06 -1.38099 1.3863 
4.394382372e-06 0.499835 -3.68535e-15 2.233e-06 0.00224949 0.00798106 1.3079e-05 -1.38404 1.38629 
2.779251441e-06 0.500488 4.91655e-15 1.283e-06 0.00743092 0.0207518 2.4008e-05 -1.37885 1.38628 
1.757752949e-06 0.501514 1.7208e-14 8.8e-07 0.00556766 0.0198285 8.864e-05 -1.38068 1.38625 
1.111700576e-06 0.503132 7.51163e-15 4.34e-07 0.0126152 0.0354736 0.000219514 -1.37356 1.38618 
7.031011796e-07 0.505666 1.70515e-16 3.39e-07 0.0135706 0.0487992 0.000576764 -1.37243 1.386 
4.446802306e-07 0.509621 2.6957e-14 9.4e-08 0.0248331 0.071121 0.00141951 -1.36073 1.38556 
2.812404718e-07 0.515731 4.10594e-14 1.23e-07 0.0317884 0.117023 0.00348511 -1.35271 1.3845 
1.778720922e-07 0.525043 3.83197e-14 -4.2e-08 0.051043 0.152925 0.00831954 -1.3309 1.38194 
1.124961887e-07 0.53888 3.38572e-14 3.7e-08 0.0671448 0.261462 0.0192687 -1.3088 1.37594 
7.114883689e-08 0.55858 2.9722e-14 -9.4e-08 0.0934989 0.310983 0.0421307 -1.26897 1.36247 
4.499847549e-08 0.584551 3.78875e-14 4e-09 0.107037 0.473684 0.0833291 -1.22744 1.33448 
2.845953476e-08 0.614428 6.73241e-14 -8.3e-08 0.110261 0.456472 0.137572 -1.17366 1.28392 
1.79993902e-08 0.64155 7.47612e-14 0 0.0777971 0.447638 0.166194 -1.13439 1.21219 
1.13838139e-08 0.658295 6.47184e-14 -5.6e-08 0.0388027 0.230276 0.120822 -1.10468 1.14349 
7.199756079e-09 0.664039 5.1095e-14 1.4e-08 0.00726588 0.0659639 0.0401908 -1.09993 1.1072 
4.553525561e-09 0.664878 3.18297e-14 -3.3e-08 0.00441007 0.0163246 0.00403647 -1.09472 1.09913 
2.879902431e-09 0.664908 1.49964e-14 2e-08 -9.28e-07 5.7818e-05 6.1102e-05 -1.09862 1.09862 
1.821410225e-09 0.664908 3.73665e-14 -2.7e-08 0.00395816 0.0110264 -7.06e-07 -1.09465 1.09861 
1.151960973e-09 0.664904 6.50217e-14 2e-08 -5.453e-06 -2.033e-05 -1.027e-06 -1.09862 1.09861 
7.285640898e-10 0.664904 8.22716e-14 -2.8e-08 0.00396775 0.0110532 -7.2e-07 -1.09464 1.09861 
4.60784389e-10 0.6649 8.50785e-14 2e-08 -5.48e-06 -2.0427e-05 -1.028e-06 -1.09862 1.09861 
2.914256359e-10 0.6649 1.02836e-13 -2.8e-08 0.00397738 0.01108 -7.2e-07 -1.09463 1.09861 
1.843137556e-10 0.664895 1.03808e-13 2e-08 -5.507e-06 -2.0523e-05 -1.03e-06 -1.09862 1.09861 
1.165702544e-10 0.664896 8.76327e-14 -2.8e-08 0.00398706 0.011107 -7.2e-07 -1.09463 1.09861 
7.372550225e-11 0.664891 8.76705e-14 2e-08 -5.534e-06 -2.0619e-05 -1.03e-06 -1.09862 1.09861 
4.662810175e-11 0.664891 8.16919e-14 -2.9e-08 0.00399679 0.0111342 -7.19e-07 -1.09462 1.09861 
2.94902009e-11 0.664887 9.2918e-14 2e-08 -5.561e-06 -2.0715e-05 -1.031e-06 -1.09862 1.09861 
1.86512407e-11 0.664887 8.82322e-14 -2.9e-08 0.00400656 0.0111614 -7.19e-07 -1.09461 1.09861 
1.179608036e-11 0.664882 8.85528e-14 2e-08 -5.588e-06 -2.0812e-05 -1.032e-06 -1.09862 1.09861 
7.46049628e-12 0.664883 9.36626e-14 -2.9e-08 0.00401639 0.0111889 -7.18e-07 -1.0946 1.09861 
4.718432144e-12 0.664878 7.65047e-14 2.1e-08 -5.615e-06 -2.091e-05 -1.032e-06 -1.09862 1.09861 
2.984198512e-12 0.664878 6.65362e-14 -2.9e-08 0.00402626 0.0112164 -7.17e-07 -1.09459 1.09861 
1.887372857e-12 0.664874 6.27563e-14 2.1e-08 -5.643e-06 -2.1008e-05 -1.033e-06 -1.09862 1.09861 
1.193679405e-12 0.664874 6.06768e-14 -2.9e-08 0.00403617 0.0112441 -7.17e-07 -1.09458 1.09861 
7.54949143e-13 0.664869 5.59386e-14 2.1e-08 -5.671e-06 -2.1107e-05 -1.034e-06 -1.09862 1.09861 
4.774717619e-13 0.664869 7.68939e-14 -2.9e-08 0.00404614 0.0112719 -7.16e-07 -1.09457 1.09861 
3.019796572e-13 0.664865 8.19785e-14 2.1e-08 -5.699e-06 -2.1207e-05 -1.034e-06 -1.09862 1.09861 
1.909887048e-13 0.664865 7.69087e-14 -2.9e-08 0.00405616 0.0112998 -7.15e-07 -1.09456 1.09861 
1.207918629e-13 0.66486 8.19512e-14 2.1e-08 -5.727e-06 -2.1307e-05 -1.035e-06 -1.09862 1.09861 
7.63954819e-14 0.66486 7.76953e-14 -2.9e-08 0.00406623 0.0113279 -7.15e-07 -1.09455 1.09861 
4.831674515e-14 0.664856 7.14653e-14 2.1e-08 -5.755e-06 -2.1408e-05 -1.036e-06 -1.09862 1.09861 
3.055819276e-14 0.664856 6.30055e-14 -3e-08 0.00407635 0.0113562 -7.14e-07 -1.09454 1.09861 
1.932669806e-14 0.664851 5.59741e-14 2.1e-08 -5.784e-06 -2.151e-05 -1.036e-06 -1.09862 1.09861 
1.22232771e-14 0.664851 4.42502e-14 -3e-08 0.00408651 0.0113845 -7.13e-07 -1.09453 1.09861 
7.730679224e-15 0.664847 2.99568e-14 2.1e-08 -5.813e-06 -2.1613e-05 -1.037e-06 -1.09862 1.09861 
4.889310842e-15 0.664847 2.71775e-14 -3e-08 0.00409673 0.011413 -7.12e-07 -1.09452 1.09861 
3.09227169e-15 0.664842 3.67302e-14 2.2e-08 -5.842e-06 -2.1716e-05 -1.038e-06 -1.09862 1.09861 
1.955724337e-15 0.664842 4.88879e-14 -3e-08 0.004107 0.0114417 -7.12e-07 -1.09451 1.09861 
1.236908676e-15 0.664838 5.52175e-14 2.2e-08 -5.871e-06 -2.1821e-05 -1.038e-06 -1.09862 1.09861 
7.822897347e-16 0.664838 4.08929e-14 -3e-08 0.00411732 0.0114705 -7.11e-07 -1.09449 1.09861 
4.947634704e-16 0.664833 4.64182e-14 2.2e-08 -5.901e-06 -2.1926e-05 -1.039e-06 -1.09862 1.09861 
3.129158939e-16 0.664833 5.5821e-14 -3e-08 0.0041277 0.0114994 -7.1e-07 -1.09448 1.09861 
1.979053881e-16 0.664828 8.75834e-14 2.2e-08 -5.93e-06 -2.2031e-05 -1.04e-06 -1.09862 1.09861 
1.251663575e-16 0.664829 1.09374e-13 -3e-08 0.00413812 0.0115285 -7.1e-07 -1.09447 1.09861 
7.916215526e-17 0.664824 1.07259e-13 2.2e-08 -5.96e-06 -2.2138e-05 -1.04e-06 -1.09862 1.09861 
5.006654302e-17 0.664824 9.15868e-14 -3e-08 0.0041486 0.0115578 -7.09e-07 -1.09446 1.09861 
3.16648621e-17 0.664819 9.63719e-14 2.2e-08 -5.99e-06 -2.2246e-05 -1.041e-06 -1.09862 1.09861 
2.002661721e-17 0.664819 8.93058e-14 -3.1e-08 0.00415913 0.0115871 -7.08e-07 -1.09445 1.09861 
1.266594484e-17 0.664814 7.935e-14 2.2e-08 -6.021e-06 -2.2354e-05 -1.042e-06 -1.09862 1.09861 
8.010646883e-18 0.664815 9.93932e-14 -3.1e-08 0.00416972 0.0116167 -7.07e-07 -1.09444 1.09861 
5.066377936e-18 0.66481 9.88919e-14 2.2e-08 -6.051e-06 -2.2463e-05 -1.042e-06 -1.09862 1.09861 
3.204258753e-18 0.66481 1.00823e-13 -3.1e-08 0.00418036 0.0116464 -7.07e-07 -1.09443 1.09861 
2.026551175e-18 0.664805 1.01164e-13 2.3e-08 -6.082e-06 -2.2573e-05 -1.043e-06 -1.09862 1.09861 
