# T       <Sz^2>          <Q>        <Q^2>          <E>        <E^2>            C            F            S
1.035351843 0.125227 0 0.498497 0.067777 0.00578696 0.00119324 -1.31792 1.3857 
0.6548140008 0.125326 6.25713e-18 0.497491 0.00479343 0.0117037 0.0021664 -1.38022 1.38502 
0.4141407372 0.125449 -2.90402e-17 0.495778 0.0951573 0.219995 0.0038951 -1.28846 1.38362 
0.2619256003 0.125674 6.36766e-16 0.493209 0.0112539 0.0443377 0.00535777 -1.37025 1.3815 
0.1656562949 0.12605 6.52893e-16 0.489271 0.144928 0.431333 0.00788607 -1.2336 1.37853 
0.1047702401 0.126644 -4.35785e-16 0.483151 0.0266017 0.107274 0.0123636 -1.34732 1.37392 
0.06626251796 0.127549 -2.84646e-15 0.473607 0.221203 0.683758 0.0195062 -1.14537 1.36658 
0.04190809605 0.128926 -6.2982e-15 0.458967 0.0587923 0.243701 0.0321175 -1.296 1.35479 
0.02650500718 0.130927 -7.59427e-15 0.436737 0.328576 1.07423 0.0522384 -1.00725 1.33583 
0.01676323842 0.13373 -6.57469e-15 0.404056 0.111279 0.489824 0.0835307 -1.19375 1.30503 
0.01060200287 0.137271 -5.12919e-15 0.357892 0.454301 1.60265 0.132483 -0.801949 1.25625 
0.006705295368 0.141101 -1.78783e-15 0.297611 0.151825 0.756758 0.196275 -1.02918 1.181 
0.004240801149 0.143777 -6.21975e-15 0.227041 0.535791 2.04009 0.262555 -0.539703 1.07549 
0.002682118147 0.143251 -1.03664e-14 0.157694 0.100129 0.65593 0.291466 -0.845609 0.945738 
0.00169632046 0.13751 -1.11165e-14 0.101457 0.527019 2.01328 0.26947 -0.288773 0.815792 
0.001072847259 0.126479 -1.61561e-14 0.0644298 -0.0110793 0.179428 0.218523 -0.713998 0.702918 
0.0006785281839 0.111112 -1.96612e-14 0.0411714 0.523842 1.92606 0.194421 -0.0866211 0.610463 
0.0004291389035 0.0932329 -1.79349e-14 0.0275036 -0.0937162 -0.133368 0.189588 -0.615214 0.521498 
0.0002714112736 0.0740667 -1.49712e-14 0.0175402 0.524122 1.93467 0.201961 0.0906872 0.433435 
0.0001716555614 0.0558041 -8.45091e-15 0.0121326 -0.179819 -0.408045 0.196147 -0.519061 0.339242 
0.0001085645094 0.0395214 -7.55749e-15 0.00705232 0.484084 1.76478 0.18382 0.230097 0.253987 
6.866222457e-05 0.0270081 -9.47512e-15 0.00540487 -0.269508 -0.738099 0.143276 -0.444941 0.175433 
4.342580377e-05 0.0175129 -1.3043e-14 0.00246729 0.432782 1.50274 0.111523 0.312331 0.12045 
2.746488983e-05 0.0115116 -1.39216e-14 0.00259488 -0.329984 -0.989113 0.0700789 -0.405227 0.0752433 
1.737032151e-05 0.00708213 -1.93732e-14 0.000570224 0.401877 1.33181 0.0523562 0.350288 0.0515889 
1.098595593e-05 0.00475967 -2.31618e-14 0.00146165 -0.358844 -1.11435 0.0271206 -0.388089 0.0292449 
6.948128603e-06 0.00274117 -1.98223e-14 -0.000193667 0.388251 1.25489 0.0241081 0.366002 0.0222487 
4.394382372e-06 0.00201062 -1.17383e-14 0.000998916 -0.370927 -1.16761 0.00781661 -0.381162 0.010235 
2.779251441e-06 0.000991797 -3.32218e-15 -0.000499641 0.382709 1.22347 0.0123792 0.37233 0.0103786 
1.757752949e-06 0.000909359 -3.11465e-15 0.000818238 -0.375777 -1.18865 0.000324553 -0.378395 0.00261804 
1.111700576e-06 0.00029105 -3.31851e-15 -0.000622935 0.380477 1.21071 0.00752936 0.374866 0.00561128 
7.031011796e-07 0.000468657 -5.53109e-15 0.000745919 -0.377723 -1.19708 -0.00268581 -0.37729 -0.00043258 
4.446802306e-07 1.07667e-05 -5.50872e-15 -0.000671884 0.379589 1.20568 0.00564622 0.37588 0.00370934 
2.812404718e-07 0.000292365 -1.51433e-15 0.000716984 -0.378502 -1.20045 -0.00389146 -0.376848 -0.00165321 
1.778720922e-07 -0.000101352 -1.3704e-16 -0.000691463 0.379234 1.20367 0.004893 0.376285 0.0029486 
1.124961887e-07 0.000221847 -2.79731e-15 0.000705408 -0.378813 -1.2018 -0.00437393 -0.376672 -0.00214151 
7.114883689e-08 -0.0001462 -1.0543e-14 -0.000699294 0.379092 1.20286 0.00459172 0.376448 0.00264431 
4.499847549e-08 0.00019364 -1.20078e-14 0.000700778 -0.378938 -1.20234 -0.00456695 -0.376601 -0.00233683 
2.845953476e-08 -0.000163975 -1.48112e-14 -0.000702243 0.379038 1.20258 0.00450485 0.376512 0.00252559 
1.79993902e-08 0.000182358 -1.3689e-14 0.000698926 -0.378988 -1.20256 -0.00464414 -0.376573 -0.00241496 
1.13838139e-08 -0.000171151 -1.10916e-14 -0.000703496 0.379015 1.20246 0.00445664 0.376538 0.00247691 
7.199756079e-09 0.000177845 -1.45753e-14 0.000698185 -0.379008 -1.20265 -0.00467503 -0.376561 -0.00244622 
4.553525561e-09 -0.000174021 -2.00478e-14 -0.000703997 0.379006 1.2024 0.00443736 0.376549 0.00245743 
2.879902431e-09 0.000177336 -2.36091e-14 0.000699808 -0.379 -1.20244 -0.00448586 -0.376558 -0.00244226 
