# T       <Sz^2>          <Q>        <Q^2>          <E>        <E^2>            C            F            S
1.020139447 0.246228 7.99741e-17 0.980109 0.463564 0.284447 0.0695554 -2.27394 2.7375 
0.7213475204 0.24345 -3.52794e-18 0.967121 0.279802 0.726238 0.107275 -2.43101 2.71082 
0.5100697233 0.238152 -1.32632e-16 0.943455 0.567021 1.75982 0.177208 -2.09426 2.66128 
0.3606737602 0.230701 2.46819e-17 0.910537 0.460291 2.18806 0.252635 -2.12687 2.58716 
0.2550348616 0.220594 -6.56716e-16 0.866404 0.713704 3.32423 0.323791 -1.76977 2.48347 
0.1803368801 0.206895 6.62198e-16 0.807671 0.651965 3.64852 0.424366 -1.69472 2.34668 
0.1275174308 0.187807 1.63133e-15 0.727795 0.837035 4.29843 0.54988 -1.32004 2.15707 
0.09016844006 0.162786 2.84985e-15 0.625981 0.758117 4.59185 0.754289 -1.15338 1.9115 
0.06375871541 0.131863 6.83074e-15 0.503183 0.788301 4.38232 0.890368 -0.806127 1.59443 
0.04508422003 0.0991083 7.9662e-15 0.375706 0.614404 4.00162 0.980666 -0.62934 1.24374 
0.03187935771 0.06874 7.28546e-15 0.259046 0.501645 2.94468 0.866328 -0.389123 0.890768 
0.02254211001 0.0455275 5.6406e-15 0.171311 0.316691 2.1491 0.686366 -0.286184 0.602875 
0.01593967885 0.0296686 4.29365e-15 0.111129 0.222073 1.29697 0.438987 -0.16874 0.390813 
0.01127105501 0.0198619 1.6785e-15 0.074569 0.1302 0.867385 0.290309 -0.129384 0.259583 
0.007969839427 0.0134507 -5.00767e-15 0.0500887 0.0942029 0.514673 0.162766 -0.0777473 0.17195 
0.005635527503 0.00955656 -7.03838e-15 0.0358945 0.0613409 0.415965 0.148312 -0.0627364 0.124077 
0.003984919713 0.00650669 -1.01737e-14 0.024363 0.0443581 0.232645 0.0691502 -0.037925 0.082283 
0.002817763752 0.00466808 -1.00818e-14 0.0174166 0.0286707 0.185754 0.0615904 -0.0309522 0.0596229 
0.001992459857 0.00322835 -1.38331e-14 0.0120987 0.0218644 0.11315 0.0330544 -0.0188403 0.0407046 
0.001408881876 0.00229623 -1.64201e-14 0.00852048 0.0134493 0.081628 0.0235881 -0.015356 0.0288052 
0.0009962299283 0.00161303 -2.12874e-14 0.00604254 0.0109739 0.0571696 0.0170886 -0.00941064 0.0203845 
0.0007044409379 0.0011569 -2.62271e-14 0.00425632 0.00684844 0.0424112 0.0129022 -0.00769107 0.0145395 
0.0004981149642 0.000805932 -2.98954e-14 0.00302273 0.00561154 0.0300281 0.00956258 -0.00471863 0.0103302 
0.000352220469 0.000587608 -3.08829e-14 0.00212535 0.00355031 0.0228178 0.00753168 -0.00386051 0.00741082 
0.0002490574821 0.000403074 -3.35849e-14 0.00151172 0.00289188 0.0160669 0.00552797 -0.00236888 0.00526077 
0.0001761102345 0.000274956 -3.55439e-14 0.00102251 0.00136337 0.00634787 0.000480764 -0.00187748 0.00324085 
0.000124528741 0.00020148 -3.68478e-14 0.00075561 0.00152746 0.0090394 0.00347492 -0.00119374 0.0027212 
8.805511724e-05 0.000132908 -4.09886e-14 0.000489802 0.000541319 0.0014809 -0.000848154 -0.00092022 0.00146154 
6.226437052e-05 9.9725e-05 -4.26279e-14 0.00037376 0.000642263 0.00299265 0.000653481 -0.000582893 0.00122516 
4.402755862e-05 7.03345e-05 -4.52398e-14 0.000230683 0.000230299 0.000264753 -0.00072605 -0.000454636 0.000684936 
3.113218526e-05 4.94816e-05 -4.55935e-14 0.000184943 0.000303236 0.00126051 0.000156204 -0.000289441 0.000592675 
2.201377931e-05 3.48106e-05 -4.36277e-14 9.7486e-05 2.4614e-05 -0.00095371 -0.0010596 -0.000215296 0.000239911 
1.556609263e-05 2.63043e-05 -4.06051e-14 8.5263e-05 0.000117727 0.000169908 -0.0002588 -0.000141378 0.000259104 
1.100688966e-05 1.70625e-05 -3.30273e-14 3.088e-05 -7.7904e-05 -0.00155979 -0.00122465 -9.5729e-05 1.7825e-05 
7.783046315e-06 1.37169e-05 -2.96274e-14 3.8064e-05 3.2844e-05 -0.000264558 -0.000384158 -6.8031e-05 0.000100875 
5.503444828e-06 8.8821e-06 -2.18082e-14 3.3232e-05 5.1073e-05 0.000301454 8.1734e-05 -5.9736e-05 0.000110809 
3.891523157e-06 7.4391e-06 -1.28332e-14 1.4952e-05 -8.114e-06 -0.000464965 -0.000435419 -3.1558e-05 2.3444e-05 
2.751722414e-06 4.4451e-06 -5.30938e-15 1.6599e-05 2.5377e-05 0.000149185 4.0013e-05 -2.9844e-05 5.5221e-05 
1.945761579e-06 3.147e-06 -3.25622e-15 1.1795e-05 2.1224e-05 0.000108699 3.1413e-05 -1.8332e-05 3.9555e-05 
1.375861207e-06 2.2201e-06 4.12652e-16 8.319e-06 1.2863e-05 7.6275e-05 2.0937e-05 -1.4952e-05 2.7816e-05 
9.728807894e-07 1.5739e-06 5.99419e-16 5.896e-06 1.0613e-05 5.4355e-05 1.5708e-05 -9.166e-06 1.9779e-05 
6.879306035e-07 1.1103e-06 6.10919e-15 4.159e-06 6.432e-06 3.8141e-05 1.047e-05 -7.476e-06 1.3909e-05 
4.864403947e-07 7.871e-07 1.394e-14 2.947e-06 5.307e-06 2.7179e-05 7.855e-06 -4.583e-06 9.889e-06 
3.439653017e-07 5.552e-07 2.09342e-14 2.079e-06 3.216e-06 1.907e-05 5.235e-06 -3.738e-06 6.954e-06 
